Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-05-17,1278.508664826389,,,,,,,,,,,,,,,,,,,
2019-05-18,1716.9999271943448,2.8088445078459348,,,,,,,,4,,,,,,,,,,
2019-05-19,2903.1206090164574,15090.260867654171,0.296724,32.6007116,0.3548055,32.6190652,0.5572405535339673,9.374588966369629,0.0,9548,82.0,82.0,82.0,,54530593,5802101,3000000,,,
2019-05-20,1886.8984857653695,750.8457083702087,0.2967508,32.6091761,0.2970961,32.6093011,0.9640964366671153,1.561328411102295,0.34028297662734985,1529,,,,,64545400,2547860,,7200000,7020000,
2019-05-21,2280.4874098998657,5606.706891406367,0.2964687,32.580508,0.3578467,32.6150046,0.7310536154775598,6.631568908691406,0.0,5415,,,,,52658550,2897271,1980000,12660000,9540000,
2019-05-22,1800.364396366464,885.5634938589833,0.296425,32.5871321,0.3531574,32.6149424,0.45852797718334776,1.5767825841903687,5.661712493747473E-4,2328,,,,,58351247,1250163,,15240000,5340000,
2019-05-23,1807.002328280969,916.767614282588,0.2963993,32.6090068,0.3551596,32.6174499,0.2855300148558601,3.528686285018921,0.0,2039,,,,,54491125,1349708,,14100000,12840000,
2019-05-24,1808.9994796530655,1272.283221043726,0.2963993,32.5359054,0.3557149,32.6149598,0.5829137503206335,2.4341628551483154,5.338078481145203E-4,2364,,,,,59476673,1379657,,9780000,9180000,120000
2019-05-25,1730.6011867212694,295.6076644228127,0.2966774,32.3738354,0.380197,32.6347095,0.2542077990343865,0.7200887203216553,0.0,2247,,,,,43594215,203969,,14160000,3240000,
2019-05-26,2064.3919987359427,4440.191704435525,0.2963993,32.6090278,0.2970466,32.6093425,0.23110135624424866,2.2676470279693604,0.011348684318363667,4671,,,,,61492269,1740000,1680000,15420000,5700000,180000
2019-05-27,1848.8473647969715,1462.2192468047142,0.2967917,32.5416396,0.3565508,32.6149906,0.6686887188085028,1.537987470626831,0.30423498153686523,4094,,,,,56047106,1977230,,10920000,8520000,480000
2019-05-28,1826.5158166050157,1625.911027788731,0.2960301,32.5917647,0.3546682,32.6149509,0.35893660518130605,1.5954720973968506,8.113119110930711E-5,3715,,,,,51425371,1642339,,14880000,10620000,2460000
2019-05-29,1829.4649333682926,1293.2220799694828,0.2969992,32.5862863,0.3547727,32.6149004,0.29367355026201325,1.3713985681533813,6.954100681468844E-4,3054,,,,,45600519,1686564,,22320000,9000000,1260000
2019-05-30,1855.3891145210546,1317.0054139140416,0.2963935,32.588695,0.3274878,32.6105266,0.45605295065603213,1.4504152536392212,0.25962549448013306,3963,,,,,75773219,2075334,,1680000,2640000,
2019-05-31,1857.4028952953197,1902.8761155016077,0.2963935,32.604002,0.3267662,32.6220809,0.5656115412292506,1.2609508037567139,0.08384132385253906,4477,,,,,76035845,2105534,,,,
2019-06-01,1906.9283286419904,3861.7836790980296,0.2969992,32.5873546,0.3497444,32.6259027,0.35354358009682757,2.4328906536102295,0.023433808237314224,3677,,,,,50290511,2846447,,18900000,5460000,
2019-06-02,1774.5228231852914,1000.6567890337857,0.2963935,32.6018645,0.3553219,32.6212419,0.5000020227677214,1.4267778396606445,0.023433808237314224,2567,,,,,59180067,862634,,15360000,4560000,
2019-06-03,1846.457898318205,1485.0175666546259,0.2963935,32.5953346,0.3583967,32.6303917,1.842520070018375,10.979024887084961,0.2934896945953369,3774,,,,,63825950,1941397,,8040000,6720000,
2019-06-04,1857.4034634828568,1855.6601081093822,0.2953694,32.6079701,0.3539327,32.6172467,0.343035855790172,9.052419662475586,6.172839784994721E-4,3040,,,,,55557224,2105541,,18540000,7920000,180000
2019-06-05,1880.475825413933,1218.1636155761025,0.296365,32.5926861,0.3622295,32.6206368,0.375685142187362,9.71229362487793,0.0,3150,,,,,64156659,2153763,131537,9420000,1320000,120000
2019-06-06,1720.4939065972128,148.4998814812195,0.2963925,32.607569,0.2998551,32.6093342,0.23325534719181634,0.5178935527801514,0.0029927007853984833,953,,,,,65334558,52397,,12660000,8160000,
2019-06-07,1842.873213244237,1645.7997466719412,0.0434908,32.4430421,0.3309295,32.6139782,0.36587551399624746,2.2380528450012207,0.0029075804632157087,4215,,,,,63972578,1887216,,3240000,1560000,
2019-06-08,1822.7378035643299,989.3476707339287,0.2963925,32.5823967,0.336135,32.6157033,0.7345571957642015,1.4372022151947021,0.312916100025177,6963,,,,,69037831,1585684,,,,
2019-06-09,1728.625028023033,126.60437536239624,0.296501,32.6088548,0.3091058,32.6094364,0.8299161351143097,1.2592421770095825,0.5404113531112671,639,,,,,82913627,174333,,,,
2019-06-10,1821.1021353972721,1313.8681071999526,0.2963925,32.5993126,0.3540437,32.6162022,0.7105507084777901,2.557654619216919,0.3386964499950409,3255,,,,,65049892,1561154,,9780000,5220000,
