Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541634877523,5.610079575596817,,,,,0.00623342115432024,0.00623342115432024,0.00623342115432024,8,,,,
00:15:00.000Z,00:30:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
00:30:00.000Z,00:45:00.000Z,17.88541634877523,5.610079575596817,0.2963751,32.6088815,0.2966639,32.6090347,,,,8,,,,
00:45:00.000Z,01:00:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
01:00:00.000Z,01:15:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
01:15:00.000Z,01:30:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
01:30:00.000Z,01:45:00.000Z,17.88541634877523,5.610079575596817,0.2965761,32.6089829,0.2965761,32.6089829,,,,8,,,,
01:45:00.000Z,02:00:00.000Z,17.88541634877523,5.610079575596817,0.2963751,32.6088815,0.2966639,32.6090347,,,,8,,,,
02:00:00.000Z,02:15:00.000Z,17.88541634877523,5.610079575596817,0.2963751,32.6088815,0.2966639,32.6090347,,,,8,,,,
02:15:00.000Z,02:30:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
02:30:00.000Z,02:45:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
02:45:00.000Z,03:00:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
03:00:00.000Z,03:15:00.000Z,17.88541634877523,5.610079575596817,,,,,,,,8,,,,
03:15:00.000Z,03:30:00.000Z,61.89611115798452,77.47495709158996,,,,,0.11568627506494522,0.11568627506494522,0.11568627506494522,113,,,,660000
03:30:00.000Z,03:45:00.000Z,41.891248861626245,65.07563025210084,,,,,,,,95,,,,360000
03:45:00.000Z,04:00:00.000Z,17.885414649700298,43.92857142857143,0.2963751,32.6088815,0.2966639,32.6090347,,,,63,,,,
04:00:00.000Z,04:15:00.000Z,17.885414649700298,43.92857142857143,0.2966639,32.6086558,0.2969385,32.6088815,0.04880952462553978,0.04880952462553978,0.04880952462553978,63,,,,
04:15:00.000Z,04:30:00.000Z,17.885414649700298,43.92857142857143,,,,,,,,63,,,,
04:30:00.000Z,04:45:00.000Z,37.8902755868846,207.74223602484471,0.2963751,32.6090347,0.3100702,32.6102648,0.6066666841506958,0.6066666841506958,0.6066666841506958,302,,,,300000
04:45:00.000Z,05:00:00.000Z,17.88541603088379,50.869565217391305,0.3127928,32.5850006,0.3162621,32.6044262,0.056521739810705185,0.056521739810705185,0.056521739810705185,74,,,,
05:00:00.000Z,05:15:00.000Z,61.89611256917317,82.84058273812394,0.3129019,32.5851448,0.3312674,32.6025525,0.11010101437568665,0.11010101437568665,0.11010101437568665,123,,,,660000
05:15:00.000Z,05:30:00.000Z,77.90000221946022,2431.0917366601725,0.3455428,32.6120044,0.3570712,32.618956,3.5764770240230797,4.326994895935059,2.303431987762451,140,,,,900000
05:30:00.000Z,05:45:00.000Z,36.35333436908144,52.53560190018655,0.3529326,32.614622,0.3529909,32.6149027,0.08408696459995606,0.11010101437568665,0.0,66,,,,420000
05:45:00.000Z,06:00:00.000Z,,,0.3529501,32.6145734,0.3530231,32.6148233,,,,620,,,,
06:00:00.000Z,06:15:00.000Z,,,0.3528477,32.6146209,0.3529831,32.6150648,,,,189,,,,
06:15:00.000Z,06:30:00.000Z,,,0.3529505,32.6145703,0.3529513,32.6146255,,,,19,,,,
06:30:00.000Z,06:45:00.000Z,,,0.3529529,32.6145699,0.3529529,32.6145699,,,,,,,,
06:45:00.000Z,07:00:00.000Z,,,,,,,,,,,,,,
07:00:00.000Z,07:15:00.000Z,,,,,,,,,,,,,,
07:15:00.000Z,07:30:00.000Z,,,,,,,,,,,,,,
07:30:00.000Z,07:45:00.000Z,,,,,,,,,,,,,,
07:45:00.000Z,08:00:00.000Z,,,,,,,,,,,,,,
08:00:00.000Z,08:15:00.000Z,,,,,,,,,,2,,,,
08:15:00.000Z,08:30:00.000Z,,,,,,,,,,,,,,
08:30:00.000Z,08:45:00.000Z,,,,,,,,,,,,,,
08:45:00.000Z,09:00:00.000Z,,,,,,,,,,,,,,
09:00:00.000Z,09:15:00.000Z,,,,,,,,,,37,,,,
09:15:00.000Z,09:30:00.000Z,,,,,,,,,,,,,,
09:30:00.000Z,09:45:00.000Z,,,,,,,,,,,,,,
09:45:00.000Z,10:00:00.000Z,,,0.3529579,32.6146165,0.3529579,32.6146165,,,,,,,,
